step,train_loss_step,epoch,val_loss_step,val_loss_epoch,train_loss_epoch
49,1.5950703620910645,0,,,
99,0.903018593788147,0,,,
149,0.6101495027542114,0,,,
199,0.5724956393241882,0,,,
249,0.5065378546714783,0,,,
299,1.1128385066986084,0,,,
349,0.3866170048713684,0,,,
399,0.2832421362400055,0,,,
449,0.6119229197502136,0,,,
499,0.17249132692813873,0,,,
549,0.9220261573791504,0,,,
599,0.39244988560676575,0,,,
649,0.6151565909385681,0,,,
699,0.2387990951538086,0,,,
749,0.30970150232315063,0,,,
799,0.49030131101608276,0,,,
849,0.9486705660820007,0,,,
899,0.3479594588279724,0,,,
949,0.2498096227645874,0,,,
999,0.49872055649757385,0,,,
1049,0.8492363691329956,0,,,
1099,0.2187778800725937,0,,,
1149,0.19937340915203094,0,,,
1199,0.3526591658592224,0,,,
1249,0.5312994718551636,0,,,
1299,0.22969095408916473,0,,,
1349,0.4657334089279175,0,,,
1399,0.2624998390674591,0,,,
1449,0.481823205947876,0,,,
1499,0.054937418550252914,0,,,
1549,0.7375257015228271,0,,,
1599,0.25889983773231506,0,,,
1649,0.4128209054470062,0,,,
1699,0.3158455491065979,0,,,
1749,0.38472142815589905,0,,,
1799,0.49481135606765747,0,,,
1849,0.4556351900100708,0,,,
1899,0.12761850655078888,0,,,
1949,0.9933760762214661,0,,,
1999,0.6459195613861084,0,,,
2049,0.527055561542511,0,,,
2099,0.3493322730064392,0,,,
2149,0.32457372546195984,0,,,
2199,0.29745927453041077,0,,,
2249,0.3252374529838562,0,,,
2299,0.7379611730575562,0,,,
2349,0.543761134147644,0,,,
2399,0.6231698393821716,0,,,
2449,0.48525089025497437,0,,,
2499,0.14023666083812714,0,,,
2549,0.5610848069190979,0,,,
2599,0.593671977519989,0,,,
2649,0.31404536962509155,0,,,
2699,0.2694902718067169,0,,,
2749,0.5306227803230286,0,,,
2799,0.9309505820274353,0,,,
2849,1.0100115537643433,0,,,
2899,0.48469915986061096,0,,,
2949,0.6586126685142517,0,,,
2999,1.189598560333252,0,,,
3049,0.2996456027030945,0,,,
3099,0.6757737398147583,0,,,
3149,0.49823418259620667,0,,,
3199,0.37911391258239746,0,,,
3249,0.6386282444000244,0,,,
3299,0.23217692971229553,0,,,
3349,0.19449272751808167,0,,,
3399,0.38822588324546814,0,,,
0,,,0.41681814193725586,,
1,,,0.5132705569267273,,
2,,,0.6597080230712891,,
3,,,0.2123541235923767,,
4,,,0.5695730447769165,,
5,,,0.6296418309211731,,
6,,,0.7595208287239075,,
7,,,0.16324055194854736,,
8,,,0.28487783670425415,,
9,,,0.12671436369419098,,
10,,,0.47859904170036316,,
11,,,0.9871951341629028,,
12,,,0.595748245716095,,
13,,,0.28029921650886536,,
14,,,0.7477607727050781,,
15,,,0.7857405543327332,,
16,,,0.1631091684103012,,
17,,,0.0993608832359314,,
18,,,0.40739715099334717,,
19,,,0.4903516173362732,,
20,,,0.4717879891395569,,
21,,,0.27588218450546265,,
22,,,0.4321707487106323,,
23,,,0.24621830880641937,,
24,,,0.32340937852859497,,
25,,,0.3203694224357605,,
26,,,0.19544902443885803,,
27,,,0.6135561466217041,,
28,,,0.5818728804588318,,
29,,,0.361255407333374,,
30,,,0.6309805512428284,,
31,,,0.3008052110671997,,
32,,,0.3351530134677887,,
33,,,0.4753669202327728,,
34,,,0.3029172122478485,,
35,,,0.11977125704288483,,
36,,,0.45414575934410095,,
37,,,0.6654782295227051,,
38,,,0.10130645334720612,,
39,,,0.15461941063404083,,
40,,,0.3736824691295624,,
41,,,0.36391395330429077,,
42,,,0.5156733393669128,,
43,,,0.6570380926132202,,
44,,,0.06512299180030823,,
45,,,0.7575485110282898,,
46,,,0.348005086183548,,
47,,,0.9473008513450623,,
48,,,0.483350932598114,,
49,,,0.35328584909439087,,
50,,,0.398440420627594,,
51,,,0.27274802327156067,,
52,,,0.2158460021018982,,
53,,,0.44344040751457214,,
54,,,0.5130836367607117,,
55,,,0.652105450630188,,
56,,,0.5529003143310547,,
57,,,0.16770775616168976,,
58,,,0.6113159656524658,,
59,,,0.12819387018680573,,
60,,,0.3344672918319702,,
61,,,0.3371009826660156,,
62,,,0.3556629419326782,,
63,,,0.38827189803123474,,
64,,,0.32038822770118713,,
65,,,0.6081849932670593,,
66,,,0.44496995210647583,,
